Report_ID,Company,Mine_Site,Report_Date,Shift_Covered,HPI_Reported,Number_of_HPIs,Dominant_Incident_Type,Max_Severity_Level,Primary_Location,Dominant_Causal_Factor,Dominant_Root_Cause,Daily_Production_tons,Major_Equipment_Involved,Equipment_Availability_pct,Geological_Condition,Seismic_Activity,Weather,Dominant_Task,Worker_Category_Most_Affected,Workforce_Size,Overtime_Hours,Year,Environmental_Risk_Score,Task_Complexity_Score,Month,Day_of_Week,Is_Weekend,Quarter,Severity_Score,Days_Since_Last_Incident,Weather_Risk_Score,Equipment_Age_Risk,Worker_Training_Level,Training_Risk_Score,Shift_Risk_Score,Composite_Risk_Score,Location_Incident_Count,Days_Since_Last_Same_Location,Season,Equipment_Risk_Score,Task_Shift_Risk,Previous_Incident_Exposure,Weather_Task_Risk,Composite_Safety_Index,Risk_Category
IN-05-07-2021-010,Gold Fields,Tarkwa,7/5/2021,Night,No,0,Fall of Ground,Low,Mining Area,Poor Maintenance,Equipment Failure,31526,Truck,79.2,Stable,Low,Clear,Equipment Operation,Welder,808,22,2021,1,4,7,0,0,3,0,1.149310669,1,3,Basic,4,4,1.55,179,0,Major Rainy Season,2,4,1,1,33.55237489,Medium Risk
IN-14-07-2021-010,Gold Fields,Ahafo,7/14/2021,Night,Yes,1,Fall of Ground,Low,Mining Area,Unsafe Driving,Procedural Failure,34984,Crusher,85,Stable,Moderate,Rain,Welding,Welder,1098,26,2021,1,5,7,2,0,3,0,0.315244431,4,2,Intermediate,3,4,1.95,179,9,Major Rainy Season,2,4,1,1,48.41766168,Medium Risk
IN-20-07-2021-010,AngloGold Ashanti,Tarkwa,7/20/2021,Day,Yes,1,Fire,High Potential,Mining Area,Human Error,Human Behaviour,37371,,76.7,Highly Fractured,Low,Fog,Welding,Supervisor,797,39,2021,3,5,7,1,0,3,2,5.445469166,2,4,Intermediate,3,2,2.75,179,6,Major Rainy Season,2,3,0,1,53.84507456,High Risk
IN-22-07-2021-010,Gold Fields,Obuasi,7/22/2021,Night,No,0,Electrical,Medium,Mining Area,Environmental Conditions,Human Behaviour,35784,,65.4,Moderate Fracturing,Moderate,Clear,Welding,Supervisor,871,1,2021,1,5,7,3,0,3,1,4.437617454,1,3,Intermediate,3,4,2,179,2,Major Rainy Season,2,4,1,1,51.74440567,High Risk
IN-23-07-2021-010,AngloGold Ashanti,Damang,7/23/2021,Day,Yes,1,Chemical,High Potential,Mining Area,Design / Layout Deficiency,Environmental Condition,42487,Crusher,86.5,Highly Fractured,Low,Clear,Maintenance,Supervisor,753,10,2021,4,4,7,4,0,3,2,3.193654488,1,4,Intermediate,3,2,2.75,179,1,Major Rainy Season,2,3,1,1,44.74871153,Medium Risk
IN-02-08-2021-010,AngloGold Ashanti,Obuasi,8/2/2021,Day,Yes,1,Electrical,Low,Mining Area,Human Error,Training Deficiency,25281,Crusher,90.8,Highly Fractured,Low,Clear,Driving,Driver,1155,16,2021,1,2,8,0,0,3,0,4.010045537,1,5,Intermediate,3,2,1,179,10,Major Rainy Season,2,1,1,1,0,Low Risk
IN-02-08-2021-010,Gold Fields,Damang,8/2/2021,Night,No,0,Electrical,High Potential,Mining Area,Lack of Risk Assessment,Equipment Failure,21905,Truck,95.6,Highly Fractured,Low,Clear,Lifting,Operator,1184,9,2021,1,3,8,0,0,3,2,2.404365617,1,3,Basic,4,4,2.1,179,0,Major Rainy Season,2,4,1,1,51.30073299,High Risk
IN-15-08-2021-010,Gold Fields,Damang,8/15/2021,Night,Yes,1,Electrical,Medium,Mining Area,Environmental Conditions,Procedural Failure,30860,Excavator,97.7,Highly Fractured,Low,Fog,Equipment Operation,Driver,209,28,2021,1,4,8,6,1,3,1,0.979225666,2,5,Basic,4,4,2,179,13,Major Rainy Season,4,4,1,1,64.05891584,High Risk
IN-19-08-2021-010,AngloGold Ashanti,Damang,8/19/2021,Night,Yes,1,Electrical,Medium,Mining Area,Inadequate Supervision,Procedural Failure,42643,Truck,83,Stable,Moderate,Clear,Lifting,Mechanic,455,29,2021,1,3,8,3,0,3,1,0.158466614,1,5,Intermediate,3,4,1.7,179,4,Major Rainy Season,2,4,1,1,39.32060337,Medium Risk
IN-24-08-2021-010,Gold Fields,Ahafo,8/24/2021,Day,No,0,Electrical,Medium,Mining Area,Design / Layout Deficiency,Environmental Condition,41727,Truck,81.3,Stable,Low,Rain,Maintenance,Supervisor,1183,5,2021,1,4,8,1,0,3,1,2.60975756,4,3,Intermediate,3,2,1.95,179,5,Major Rainy Season,2,3,1,1,41.42196754,Medium Risk
IN-09-09-2021-010,AngloGold Ashanti,Obuasi,9/9/2021,Day,Yes,1,Electrical,High Potential,Mining Area,Inadequate Supervision,Procedural Failure,38365,Truck,82.3,Stable,Low,Clear,Equipment Operation,Driver,622,20,2021,1,4,9,3,0,3,2,0.83224018,1,3,Intermediate,3,2,2,179,16,Transition Season,2,3,1,1,44.74871153,Medium Risk
IN-27-09-2021-010,AngloGold Ashanti,Ahafo,9/27/2021,Day,No,0,Equipment,Medium,Mining Area,Poor Maintenance,Environmental Condition,25980,Excavator,78.6,Highly Fractured,Low,Clear,Driving,Operator,813,17,2021,1,2,9,0,0,3,1,6.673634171,1,3,Basic,4,2,1.4,179,18,Transition Season,4,1,1,1,27.62207907,Low Risk
IN-17-10-2021-010,Gold Fields,Obuasi,10/17/2021,Night,Yes,1,Fall of Ground,Low,Mining Area,Inadequate Supervision,Equipment Failure,17452,,69.9,Stable,Low,Clear,Equipment Operation,Mechanic,316,10,2021,1,4,10,6,1,4,0,0.415933811,1,2,Basic,4,4,1.55,179,20,Transition Season,2,4,1,1,33.55237489,Medium Risk
IN-06-11-2021-010,Gold Fields,Tarkwa,11/6/2021,Day,No,0,Vehicle,Medium,Mining Area,Human Error,Environmental Condition,20717,Crusher,69.8,Moderate Fracturing,Low,Clear,Lifting,Operator,494,44,2021,2,3,11,5,1,4,1,0.69851336,1,4,Basic,4,2,1.8,179,20,Transition Season,2,3,1,1,26.55668075,Low Risk
IN-09-11-2021-010,AngloGold Ashanti,Damang,11/9/2021,Night,No,0,Fire,Medium,Mining Area,Human Error,Procedural Failure,26281,Crusher,78.4,Moderate Fracturing,Low,Clear,Lifting,Supervisor,884,36,2021,3,3,11,1,0,4,1,5.2474077,1,5,Basic,4,4,2.25,179,3,Transition Season,2,4,1,1,39.32060337,Medium Risk
IN-23-11-2021-010,AngloGold Ashanti,Damang,11/23/2021,Night,No,0,Vehicle,High Potential,Mining Area,Environmental Conditions,Environmental Condition,8866,,67.5,Highly Fractured,Moderate,Clear,Welding,Driver,232,25,2021,2,5,11,1,0,4,2,5.7817763,1,4,Advanced,2,4,2.55,179,14,Transition Season,2,4,1,1,63.7245353,High Risk
IN-26-11-2021-010,Gold Fields,Obuasi,11/26/2021,Night,No,0,Fall of Ground,Low,Mining Area,Human Error,Procedural Failure,40205,,96,Stable,High,Fog,Equipment Operation,Mechanic,336,14,2021,1,4,11,4,0,4,0,0.047937008,2,4,Basic,4,4,1.65,179,3,Transition Season,2,4,1,1,36.43683677,Medium Risk
IN-04-12-2021-010,Newmont,Tarkwa,12/4/2021,Night,Yes,1,Electrical,Critical Potential,Mining Area,Design / Layout Deficiency,Training Deficiency,40517,,88.5,Highly Fractured,Low,Clear,Equipment Operation,Welder,750,21,2021,1,4,12,5,1,4,3,2.971943586,1,3,Basic,4,4,2.6,179,8,Dry Season,2,4,1,1,69.49276377,High Risk
IN-11-12-2021-010,AngloGold Ashanti,Damang,12/11/2021,Day,Yes,1,Fall of Ground,Medium,Mining Area,Environmental Conditions,Training Deficiency,5619,Excavator,89.2,Stable,High,Extreme Heat,Welding,Operator,1129,25,2021,1,5,12,5,1,4,1,0.260838225,4,3,Intermediate,3,2,2.1,179,7,Dry Season,4,3,1,3,73.1881619,Critical Risk
IN-20-12-2021-010,Newmont,Obuasi,12/20/2021,Night,Yes,1,Equipment,Low,Mining Area,Human Error,Equipment Failure,24167,,96.3,Moderate Fracturing,Low,Clear,Maintenance,Operator,501,25,2021,1,4,12,0,0,4,0,14.97479907,1,4,Intermediate,3,4,1.5,179,9,Dry Season,2,4,1,1,33.55237489,Medium Risk
IN-09-01-2022-010,Newmont,Damang,1/9/2022,Night,Yes,1,Fall of Ground,Low,Mining Area,Human Error,Training Deficiency,23485,Loader,68.1,Highly Fractured,Low,Fog,Lifting,Supervisor,578,18,2022,1,3,1,6,1,1,0,1.912459968,2,3,Basic,4,4,1.5,179,20,Dry Season,2,4,1,1,30.22493562,Medium Risk
IN-11-01-2022-010,Newmont,Obuasi,1/11/2022,Day,Yes,1,Chemical,Medium,Mining Area,Environmental Conditions,Equipment Failure,10283,Excavator,74.3,Moderate Fracturing,Low,Clear,Equipment Operation,Mechanic,693,2,2022,4,4,1,1,0,1,1,4.097915632,1,3,Intermediate,3,2,2.4,179,2,Dry Season,4,3,1,1,48.41053135,Medium Risk
IN-14-01-2022-010,AngloGold Ashanti,Damang,1/14/2022,Night,Yes,1,Equipment,Low,Mining Area,Human Error,Procedural Failure,21402,,67.4,Moderate Fracturing,Low,High Dust,Welding,Welder,893,32,2022,1,5,1,4,0,1,0,3.563527525,,3,Intermediate,3,4,,179,3,Dry Season,2,4,1,3,46.79215793,Medium Risk
IN-14-01-2022-010,AngloGold Ashanti,Tarkwa,1/14/2022,Night,No,0,Electrical,High Potential,Mining Area,Human Error,Procedural Failure,20721,Loader,96.1,Stable,Low,High Dust,Equipment Operation,Supervisor,746,23,2022,1,4,1,4,0,1,2,1.066146087,,4,Intermediate,3,4,,179,0,Dry Season,2,4,1,3,64.54051603,High Risk
IN-22-01-2022-010,Gold Fields,Tarkwa,1/22/2022,Night,No,0,Fire,Critical Potential,Mining Area,Environmental Conditions,Training Deficiency,34240,Loader,79.9,Moderate Fracturing,Low,Extreme Heat,Welding,Welder,517,22,2022,3,5,1,5,1,1,3,2.158205625,4,5,Intermediate,3,4,3.5,179,8,Dry Season,2,4,1,3,94.27039432,Critical Risk
IN-27-01-2022-010,AngloGold Ashanti,Obuasi,1/27/2022,Day,No,0,Equipment,Medium,Mining Area,Unsafe Driving,Training Deficiency,37088,Excavator,73.9,Moderate Fracturing,Moderate,Clear,Equipment Operation,Supervisor,694,17,2022,1,4,1,3,0,1,1,1.753800303,1,3,Intermediate,3,2,1.65,179,5,Dry Season,4,3,1,1,48.41053135,Medium Risk
IN-12-02-2022-010,Gold Fields,Ahafo,2/12/2022,Night,Yes,1,Equipment,Low,Mining Area,Human Error,Training Deficiency,11539,Excavator,92.1,Moderate Fracturing,High,Clear,Driving,Mechanic,877,39,2022,1,2,2,5,1,1,0,6.256266767,1,3,Intermediate,3,4,1.2,179,16,Dry Season,4,2,1,1,28.40587206,Low Risk
IN-17-02-2022-010,AngloGold Ashanti,Damang,2/17/2022,Day,No,0,Electrical,Critical Potential,Mining Area,Design / Layout Deficiency,Procedural Failure,20810,Loader,81.8,Stable,Moderate,Rain,Equipment Operation,Driver,450,28,2022,1,4,2,3,0,1,3,2.379093278,4,2,Intermediate,3,2,2.65,179,5,Dry Season,2,3,1,3,75.29457055,Critical Risk
IN-26-02-2022-010,Newmont,Obuasi,2/26/2022,Night,Yes,1,Equipment,Critical Potential,Mining Area,Design / Layout Deficiency,Environmental Condition,5489,,82.9,Moderate Fracturing,Low,Clear,Welding,Mechanic,253,8,2022,1,5,2,5,1,1,3,10.92842375,1,3,Intermediate,3,4,2.7,179,9,Dry Season,2,4,1,1,75.70466492,Critical Risk
IN-06-03-2022-010,Gold Fields,Obuasi,3/6/2022,Night,Yes,1,Chemical,High Potential,Mining Area,Design / Layout Deficiency,Human Behaviour,37323,Loader,95.1,Moderate Fracturing,Low,Rain,Driving,Driver,427,18,2022,4,2,3,6,1,1,2,0.716210137,4,3,Basic,4,4,3,179,8,Minor Rainy Season,2,2,1,3,55.28991126,High Risk
IN-08-03-2022-010,Gold Fields,Ahafo,3/8/2022,Day,No,0,Fire,Low,Mining Area,Unsafe Driving,Training Deficiency,37551,Truck,95.9,Moderate Fracturing,High,Clear,Driving,Welder,486,18,2022,3,2,3,1,0,1,0,1.892151126,1,4,Basic,4,2,1.55,179,2,Minor Rainy Season,2,1,1,1,0,Low Risk
IN-10-03-2022-010,AngloGold Ashanti,Damang,3/10/2022,Night,Yes,1,Equipment,Medium,Mining Area,Human Error,Training Deficiency,22478,Crusher,70.5,Highly Fractured,Low,Clear,Maintenance,Welder,982,11,2022,1,4,3,3,0,1,1,10.56186725,1,4,Advanced,2,4,1.8,179,2,Minor Rainy Season,2,4,1,1,45.53250452,Medium Risk
IN-02-05-2022-010,AngloGold Ashanti,Damang,5/2/2022,Day,Yes,1,Fall of Ground,Medium,Mining Area,Design / Layout Deficiency,Environmental Condition,29535,Truck,81.5,Moderate Fracturing,Low,Clear,Driving,Mechanic,1086,18,2022,1,2,5,0,0,2,1,1.965016105,1,5,Intermediate,3,2,1.35,179,53,Minor Rainy Season,2,1,1,1,11.98012963,Low Risk
IN-09-05-2022-010,Gold Fields,Tarkwa,5/9/2022,Night,Yes,1,Fall of Ground,Low,Mining Area,Unsafe Driving,Environmental Condition,10543,Truck,80.4,Stable,Moderate,Fog,Lifting,Welder,777,19,2022,1,3,5,0,0,2,0,3.259239297,2,5,Basic,4,4,1.5,179,7,Minor Rainy Season,2,4,1,1,30.22493562,Medium Risk
IN-10-05-2022-010,Gold Fields,Damang,5/10/2022,Day,Yes,1,Electrical,High Potential,Mining Area,Human Error,Training Deficiency,9922,Excavator,88.4,Highly Fractured,Moderate,Clear,Lifting,Welder,340,42,2022,1,3,5,1,0,2,2,8.06759816,1,4,Basic,4,2,1.9,179,1,Minor Rainy Season,4,3,1,1,54.17875982,High Risk
IN-15-05-2022-010,Gold Fields,Damang,5/15/2022,Day,Yes,1,Equipment,Critical Potential,Mining Area,Poor Maintenance,Human Behaviour,27692,Excavator,95.1,Stable,Low,Clear,Lifting,Operator,1117,28,2022,1,3,5,6,1,2,3,3.544293877,1,4,Intermediate,3,2,2.2,179,5,Minor Rainy Season,4,3,1,1,66.15888945,High Risk
IN-20-05-2022-010,Newmont,Obuasi,5/20/2022,Night,No,0,Equipment,Critical Potential,Mining Area,Unsafe Driving,Environmental Condition,35497,,97.8,Moderate Fracturing,Low,Clear,Maintenance,Mechanic,640,3,2022,1,4,5,4,0,2,3,2.170256663,1,3,Intermediate,3,4,2.55,179,5,Minor Rainy Season,2,4,1,1,69.49276377,High Risk
IN-02-06-2022-010,AngloGold Ashanti,Damang,6/2/2022,Day,No,0,Fire,Medium,Mining Area,Human Error,Environmental Condition,15310,Loader,93.8,Highly Fractured,Low,Clear,Lifting,Operator,955,32,2022,3,3,6,3,0,2,1,2.361015332,1,5,Basic,4,2,2.05,179,13,Major Rainy Season,2,3,1,1,26.55668075,Low Risk
IN-06-06-2022-010,Gold Fields,Tarkwa,6/6/2022,Day,No,0,Chemical,Low,Mining Area,Unsafe Driving,Environmental Condition,10696,Excavator,91.7,Highly Fractured,Low,High Dust,Equipment Operation,Supervisor,523,37,2022,4,4,6,0,0,2,0,2.087823937,,3,Intermediate,3,2,,179,4,Major Rainy Season,4,3,1,3,43.45828361,Medium Risk
IN-07-06-2022-010,Newmont,Obuasi,6/7/2022,Night,No,0,Fall of Ground,Medium,Mining Area,Unsafe Driving,Human Behaviour,11533,Crusher,66.3,Moderate Fracturing,Low,Clear,Welding,Driver,1137,35,2022,1,5,6,1,0,2,1,4.037934287,1,4,Intermediate,3,4,2,179,1,Major Rainy Season,2,4,1,1,51.74440567,High Risk
IN-20-06-2022-010,Gold Fields,Damang,6/20/2022,Day,Yes,1,Fall of Ground,Medium,Mining Area,Poor Maintenance,Equipment Failure,38691,Truck,67.8,Highly Fractured,Moderate,Extreme Heat,Equipment Operation,Operator,241,21,2022,1,4,6,0,0,2,1,1.035290676,4,5,Intermediate,3,2,1.95,179,13,Major Rainy Season,2,3,1,3,51.3343113,High Risk
IN-27-06-2022-010,Newmont,Ahafo,6/27/2022,Night,Yes,1,Chemical,High Potential,Mining Area,Poor Maintenance,Procedural Failure,41358,Truck,96.5,Stable,Low,Clear,Welding,Operator,941,24,2022,4,5,6,0,0,2,2,0.402687482,1,5,Intermediate,3,4,3.1,179,7,Major Rainy Season,2,4,1,1,63.7245353,High Risk
IN-04-07-2022-010,Newmont,Obuasi,7/4/2022,Day,Yes,1,Fire,Critical Potential,Mining Area,Human Error,Environmental Condition,29648,Crusher,81.9,Moderate Fracturing,Low,Clear,Welding,Supervisor,405,36,2022,3,5,7,0,0,3,3,3.175340542,1,3,Intermediate,3,2,3,179,7,Major Rainy Season,2,3,1,1,62.94074231,High Risk
IN-20-07-2022-010,Gold Fields,Obuasi,7/20/2022,Night,Yes,1,Electrical,High Potential,Mining Area,Design / Layout Deficiency,Training Deficiency,41444,,65.6,Stable,Moderate,Clear,Equipment Operation,Driver,1189,15,2022,1,4,7,2,0,3,2,2.564267041,1,3,Intermediate,3,4,2.2,179,16,Major Rainy Season,2,4,1,1,57.51263414,High Risk
IN-20-07-2022-010,Gold Fields,Ahafo,7/20/2022,Day,Yes,1,Vehicle,Critical Potential,Mining Area,Human Error,Procedural Failure,8084,Loader,84,Moderate Fracturing,Moderate,Clear,Equipment Operation,Operator,786,30,2022,2,4,7,2,0,3,3,5.38494883,1,2,Basic,4,2,2.65,179,0,Major Rainy Season,2,3,1,1,56.72884115,High Risk
IN-09-08-2022-010,Newmont,Obuasi,8/9/2022,Day,No,0,Equipment,Medium,Mining Area,Lack of Risk Assessment,Equipment Failure,31502,Truck,76,Moderate Fracturing,Moderate,High Dust,Maintenance,Operator,425,22,2022,1,4,8,1,0,3,1,0.033313363,,5,Intermediate,3,2,,179,20,Major Rainy Season,2,3,1,3,39.79646379,Medium Risk
IN-23-08-2022-010,Newmont,Obuasi,8/23/2022,Day,No,0,Chemical,Medium,Mining Area,Unsafe Driving,Training Deficiency,9567,Truck,77.9,Moderate Fracturing,Low,Rain,Equipment Operation,Supervisor,625,32,2022,4,4,8,1,0,3,1,8.373974297,4,4,Intermediate,3,2,2.7,179,14,Major Rainy Season,2,3,1,3,51.3343113,High Risk
IN-26-08-2022-010,Newmont,Tarkwa,8/26/2022,Day,No,0,Fire,Medium,Mining Area,Design / Layout Deficiency,Training Deficiency,29326,Loader,82.8,Moderate Fracturing,Low,High Dust,Welding,Supervisor,673,17,2022,3,5,8,4,0,3,1,10.66138832,,3,Advanced,2,2,,179,3,Major Rainy Season,2,3,1,3,46.00836494,Medium Risk
IN-06-09-2022-010,AngloGold Ashanti,Tarkwa,9/6/2022,Night,Yes,1,Vehicle,Medium,Mining Area,Unsafe Driving,Training Deficiency,22107,Excavator,96.9,Stable,Low,Rain,Lifting,Driver,339,15,2022,2,3,9,1,0,3,1,1.334541819,4,4,Intermediate,3,4,2.25,179,11,Transition Season,4,4,1,1,63.61593845,High Risk
IN-10-09-2022-010,AngloGold Ashanti,Damang,9/10/2022,Night,Yes,1,Fire,Critical Potential,Mining Area,Inadequate Supervision,Environmental Condition,15492,Loader,74.1,Stable,Low,Clear,Lifting,Driver,328,10,2022,3,3,9,5,1,3,3,0.880101498,1,2,Basic,4,4,2.95,179,4,Transition Season,2,4,1,1,63.28086262,High Risk
IN-10-09-2022-010,Newmont,Tarkwa,9/10/2022,Day,Yes,1,Fire,Medium,Mining Area,Unsafe Driving,Training Deficiency,29600,Excavator,91.1,Stable,Low,Fog,Welding,Driver,412,31,2022,3,5,9,5,1,3,1,5.330023131,2,4,Advanced,2,2,2.35,179,0,Transition Season,4,3,1,1,57.50689438,High Risk
IN-18-09-2022-010,Gold Fields,Damang,9/18/2022,Day,Yes,1,Chemical,High Potential,Mining Area,Unsafe Driving,Human Behaviour,11022,Loader,93.1,Highly Fractured,Low,Rain,Welding,Supervisor,716,11,2022,4,5,9,6,1,3,2,2.257582331,4,2,Advanced,2,2,3.15,179,8,Transition Season,2,3,1,1,59.61399831,High Risk
IN-09-10-2022-010,Newmont,Damang,10/9/2022,Day,Yes,1,Fall of Ground,High Potential,Mining Area,Human Error,Environmental Condition,16332,Loader,80.7,Highly Fractured,Moderate,Clear,Equipment Operation,Mechanic,1055,33,2022,1,4,10,6,1,4,2,3.002285066,1,4,Intermediate,3,2,2,179,21,Transition Season,2,3,1,1,44.74871153,Medium Risk
IN-12-10-2022-010,Gold Fields,Obuasi,10/12/2022,Day,No,0,Equipment,Medium,Mining Area,Unsafe Driving,Human Behaviour,9150,Loader,80.1,Stable,Low,High Dust,Maintenance,Operator,557,44,2022,1,4,10,2,0,4,1,6.050418941,,3,Intermediate,3,2,,179,3,Transition Season,2,3,1,3,39.79646379,Medium Risk
IN-13-10-2022-010,Gold Fields,Ahafo,10/13/2022,Night,Yes,1,Chemical,Medium,Mining Area,Human Error,Environmental Condition,38972,Truck,72.1,Stable,Moderate,High Dust,Maintenance,Mechanic,576,33,2022,4,4,10,3,0,4,1,19.62304776,,3,Advanced,2,4,,179,1,Transition Season,2,4,1,3,52.5603864,High Risk
IN-16-10-2022-010,Gold Fields,Tarkwa,10/16/2022,Day,Yes,1,Fire,Critical Potential,Mining Area,Human Error,Procedural Failure,19635,Crusher,77.6,Stable,Low,Clear,Lifting,Welder,511,39,2022,3,3,10,6,1,4,3,0.657464514,1,4,Basic,4,2,2.75,179,3,Transition Season,2,3,1,1,50.51694,High Risk
IN-19-10-2022-010,Gold Fields,Ahafo,10/19/2022,Day,Yes,1,Chemical,High Potential,Mining Area,Lack of Risk Assessment,Environmental Condition,24403,Loader,91.5,Highly Fractured,Moderate,High Dust,Equipment Operation,Mechanic,709,4,2022,4,4,10,2,0,4,2,2.095633905,,4,Basic,4,2,,179,3,Transition Season,2,3,1,3,51.77659341,High Risk
IN-02-11-2022-010,AngloGold Ashanti,Damang,11/2/2022,Day,No,0,Equipment,Medium,Mining Area,Human Error,Equipment Failure,13418,Crusher,79.7,Stable,Moderate,Extreme Heat,Driving,Driver,892,1,2022,1,2,11,2,0,4,1,9.264111851,4,2,Intermediate,3,2,1.65,179,14,Transition Season,2,1,1,3,30.54585902,Medium Risk
IN-09-11-2022-010,Gold Fields,Ahafo,11/9/2022,Night,Yes,1,Fire,Medium,Mining Area,Inadequate Supervision,Training Deficiency,33716,Loader,74.2,Moderate Fracturing,Moderate,Clear,Maintenance,Supervisor,615,16,2022,3,4,11,2,0,4,1,1.031146362,1,2,Intermediate,3,4,2.35,179,7,Transition Season,2,4,1,1,45.53250452,Medium Risk
